s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,Pa
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_GEOM,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL,ZONE_1
 2.4361260E+000, 8.8069256E+001,-3.0710634E+001, 1.5154623E+000,-6.2659588E-001,-1.4209222E+000, 2.3435692E+001, 0.0000000E+000, 0.0000000E+000, 8.2674231E+001, 8.0262258E+001, 5.1838368E-003, 5.1838368E-003, 3.3077659E+001
 2.5226183E+000, 8.5923610E+001,-2.9412658E+001, 1.5167180E+000,-6.3713911E-001,-1.4218559E+000, 2.3169768E+001, 0.0000000E+000, 0.0000000E+000, 8.2173679E+001, 7.9138443E+001, 5.1964617E-003, 5.1964617E-003, 3.4964920E+001
 2.6091106E+000, 8.6192986E+001,-3.0072183E+001, 1.5176372E+000,-6.5537661E-001,-1.4225142E+000, 2.2893106E+001, 0.0000000E+000, 0.0000000E+000, 8.0882083E+001, 7.8453655E+001, 5.2071047E-003, 5.2071047E-003, 3.6820679E+001
 2.6956029E+000, 8.6705421E+001,-3.0231846E+001, 1.5183777E+000,-6.8205968E-001,-1.4230285E+000, 2.2854732E+001, 0.0000000E+000, 0.0000000E+000, 8.0274159E+001, 7.8741596E+001, 5.2160739E-003, 5.2160739E-003, 3.8660880E+001
 2.7691789E+000, 8.7091425E+001,-3.0154886E+001, 1.5191205E+000,-7.0712747E-001,-1.4236399E+000, 2.2978984E+001, 0.0000000E+000, 0.0000000E+000, 8.0699631E+001, 7.9303877E+001, 5.2225824E-003, 5.2225824E-003, 4.0234142E+001
 2.8427546E+000, 8.9820918E+001,-3.1315569E+001, 1.5202207E+000,-7.3463278E-001,-1.4246029E+000, 2.3370119E+001, 0.0000000E+000, 0.0000000E+000, 8.1317540E+001, 8.1236452E+001, 5.2282069E-003, 5.2282069E-003, 4.1818530E+001
 2.9163306E+000, 9.1860591E+001,-3.2056744E+001, 1.5216097E+000,-7.6513866E-001,-1.4258981E+000, 2.3929463E+001, 0.0000000E+000, 0.0000000E+000, 8.3534420E+001, 8.3063883E+001, 5.2330665E-003, 5.2330665E-003, 4.3444790E+001
 2.9899063E+000, 9.3446992E+001,-3.2496132E+001, 1.5231764E+000,-7.9440875E-001,-1.4274003E+000, 2.4406468E+001, 0.0000000E+000, 0.0000000E+000, 8.5335676E+001, 8.4658696E+001, 5.2372648E-003, 5.2372648E-003, 4.5105353E+001
 3.0551333E+000, 9.4713565E+001,-3.2848652E+001, 1.5247151E+000,-8.1260919E-001,-1.4288999E+000, 2.4822274E+001, 0.0000000E+000, 0.0000000E+000, 8.6945631E+001, 8.5970393E+001, 5.2405061E-003, 5.2405061E-003, 4.6605515E+001
 3.1203601E+000, 9.7430301E+001,-3.3713427E+001, 1.5264217E+000,-8.2468853E-001,-1.4305350E+000, 2.5386627E+001, 0.0000000E+000, 0.0000000E+000, 8.8234979E+001, 8.8374699E+001, 5.2433525E-003, 5.2433525E-003, 4.8128316E+001
