s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_GEOM,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL
 1.0825358E+001, 1.2494422E+001,-3.6141459E+000,-6.6371858E-001,-6.8149419E-001, 2.5521165E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 7.5929223E+000, 7.5376153E+000, 6.5707755E-004, 6.5707755E-004
 1.0962499E+001, 1.2496614E+001,-3.6674324E+000,-6.8535931E-001,-6.8944682E-001, 2.5511395E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 7.5201705E+000, 7.4569269E+000, 6.5707755E-004, 6.5707755E-004
 1.1099639E+001, 1.2498797E+001,-3.7143527E+000,-7.0987609E-001,-7.0119502E-001, 2.5502821E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 7.4391703E+000, 7.3759234E+000, 6.5707755E-004, 6.5707755E-004
 1.1236779E+001, 1.2500500E+001,-3.7534024E+000,-7.3090576E-001,-7.0916090E-001, 2.5496370E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 7.3616720E+000, 7.3095807E+000, 6.5707755E-004, 6.5707755E-004
 1.1373919E+001, 1.2502070E+001,-3.7779561E+000,-7.6130245E-001,-7.1454062E-001, 2.5492479E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 7.2905270E+000, 7.2508204E+000, 6.5707755E-004, 6.5707755E-004
 1.1511060E+001, 1.2502300E+001,-3.7914075E+000,-8.0779588E-001,-7.1714038E-001, 2.5491338E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 7.2268666E+000, 7.1885055E+000, 6.5707755E-004, 6.5707755E-004
 1.1648200E+001, 1.2502036E+001,-3.7954084E+000,-8.7012366E-001,-7.1840646E-001, 2.5492546E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 7.1576636E+000, 7.1206465E+000, 6.5707755E-004, 6.5707755E-004
 1.1785340E+001, 1.2501556E+001,-3.7908368E+000,-9.4485604E-001,-7.1907014E-001, 2.5495953E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 7.0831586E+000, 7.0493428E+000, 6.5707755E-004, 6.5707755E-004
 1.1922481E+001, 1.2501136E+001,-3.7826307E+000,-1.0275471E+000,-7.1821919E-001, 2.5501134E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 7.0048884E+000, 6.9752895E+000, 6.5707755E-004, 6.5707755E-004
 1.2059621E+001, 1.2500783E+001,-3.7657606E+000,-1.1088453E+000,-7.2335101E-001, 2.5507897E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.9292395E+000, 6.9053767E+000, 6.5707755E-004, 6.5707755E-004
 1.2210475E+001, 1.2165413E+001,-3.7351887E+000,-1.2060156E+000,-7.2711924E-001, 2.5516219E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.8611909E+000, 6.4996410E+000, 6.5707755E-004, 6.5707755E-004
 1.2361330E+001, 1.2328516E+001,-3.6059223E+000,-1.2660670E+000,-7.2950684E-001, 2.5524548E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.4646104E+000, 6.7295719E+000, 6.5707755E-004, 6.5707755E-004
 1.2512184E+001, 1.2411302E+001,-3.5849160E+000,-1.3252451E+000,-7.3311175E-001, 2.5531888E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.6921887E+000, 6.7705821E+000, 6.5707755E-004, 6.5707755E-004
 1.2663038E+001, 1.2453828E+001,-3.5838291E+000,-1.3826802E+000,-7.4091644E-001, 2.5539419E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.7452025E+000, 6.7489564E+000, 6.5707755E-004, 6.5707755E-004
 1.2813892E+001, 1.2475599E+001,-3.5859306E+000,-1.4310643E+000,-7.4461772E-001, 2.5546704E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.7417830E+000, 6.7165414E+000, 6.5707755E-004, 6.5707755E-004
 1.2964746E+001, 1.2486668E+001,-3.5879622E+000,-1.4470516E+000,-7.4835934E-001, 2.5553444E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.7067373E+000, 6.7058501E+000, 6.5707755E-004, 6.5707755E-004
 1.3115602E+001, 1.2492333E+001,-3.5837699E+000,-1.4892662E+000,-7.5172700E-001, 2.5559454E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.7002352E+000, 6.6701258E+000, 6.5707755E-004, 6.5707755E-004
 1.3266456E+001, 1.2495318E+001,-3.5687243E+000,-1.5147559E+000,-7.5661632E-001, 2.5564448E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.6645631E+000, 6.6577776E+000, 6.5707755E-004, 6.5707755E-004
 1.3417310E+001, 1.2496927E+001,-3.5549062E+000,-1.5334437E+000,-7.7710210E-001, 2.5568144E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.6473667E+000, 6.6340315E+000, 6.5707755E-004, 6.5707755E-004
 1.3568164E+001, 1.2497750E+001,-3.5525151E+000,-1.5593806E+000,-7.6696882E-001, 2.5570440E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.6447994E+000, 6.6214428E+000, 6.5707755E-004, 6.5707755E-004
 1.3719018E+001, 1.2498109E+001,-3.5511791E+000,-1.5848478E+000,-7.7053700E-001, 2.5571328E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.6184731E+000, 6.5941022E+000, 6.5707755E-004, 6.5707755E-004
 1.3869873E+001, 1.2498290E+001,-3.5503750E+000,-1.6067179E+000,-7.8477990E-001, 2.5570832E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.5871810E+000, 6.5589738E+000, 6.5707755E-004, 6.5707755E-004
 1.4020727E+001, 1.2498197E+001,-3.5586692E+000,-1.6404072E+000,-7.7427248E-001, 2.5569069E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.5678154E+000, 6.5274049E+000, 6.5707755E-004, 6.5707755E-004
