s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_GEOM,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL
 1.1488634E+002, 1.2499728E+001,-4.6941241E+000,-5.4470455E+000,-2.2237841E+000,-1.4962450E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.3240148E-002,-1.4850429E-002, 6.5707755E-004, 6.5707755E-004
 1.1505825E+002, 1.2730313E+001,-4.7727442E+000,-5.6005507E+000,-2.2218616E+000,-1.4967460E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-8.8424139E-003,-1.4518114E-002, 6.5707755E-004, 6.5707755E-004
 1.1523016E+002, 1.2607197E+001,-4.7339849E+000,-5.5196227E+000,-2.2177699E+000,-1.4971573E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-8.4581373E-003,-1.3896518E-002, 6.5707755E-004, 6.5707755E-004
 1.1538216E+002, 1.2245210E+001,-4.6087529E+000,-5.2734516E+000,-2.2432251E+000,-1.4974897E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-9.3378694E-003,-2.9968110E-002, 6.5707755E-004, 6.5707755E-004
 1.1553416E+002, 1.2385973E+001,-4.6604293E+000,-5.3684924E+000,-2.2357725E+000,-1.4978542E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-9.7954754E-003,-2.8506464E-002, 6.5707755E-004, 6.5707755E-004
 1.1568615E+002, 1.2450826E+001,-4.6852550E+000,-5.4140035E+000,-2.2291467E+000,-1.4981319E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-8.6343153E-003,-2.7392159E-002, 6.5707755E-004, 6.5707755E-004
 1.1583815E+002, 1.2474404E+001,-4.6933742E+000,-5.4346513E+000,-2.2226264E+000,-1.4983769E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.0077246E-002,-2.6085335E-002, 6.5707755E-004, 6.5707755E-004
 1.1599015E+002, 1.2477880E+001,-4.6879004E+000,-5.4472091E+000,-2.2187993E+000,-1.4985771E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.0649806E-002,-2.5886128E-002, 6.5707755E-004, 6.5707755E-004
 1.1614214E+002, 1.2472602E+001,-4.6895763E+000,-5.4438431E+000,-2.2146061E+000,-1.4987464E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.6653259E-003,-2.5298455E-002, 6.5707755E-004, 6.5707755E-004
 1.1629414E+002, 1.2485986E+001,-4.6945103E+000,-5.4546292E+000,-2.2120942E+000,-1.4988699E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.5675566E-003,-2.5134826E-002, 6.5707755E-004, 6.5707755E-004
 1.1646134E+002, 1.2721420E+001,-4.7717635E+000,-5.6153735E+000,-2.2084680E+000,-1.4990005E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.3220206E-002,-2.4085293E-002, 6.5707755E-004, 6.5707755E-004
 1.1662854E+002, 1.2605646E+001,-4.7278835E+000,-5.5461803E+000,-2.2052237E+000,-1.4990409E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-9.1408730E-003,-2.3545919E-002, 6.5707755E-004, 6.5707755E-004
 1.1679574E+002, 1.2550618E+001,-4.7112540E+000,-5.5128364E+000,-2.1960023E+000,-1.4990803E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-7.4338531E-003,-1.9383210E-002, 6.5707755E-004, 6.5707755E-004
